
OccupationCode|EducationLevel
11-1011.00|Bachelor's Degree
11-1011.00|Doctoral Degree
11-1011.00|Master's Degree
11-1011.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-1011.00|Some College Courses
11-1021.00|Associate's Degree (or other 2-year degree)
11-1021.00|Bachelor's Degree
11-1021.00|High School Diploma - or the equivalent (for example, GED)
11-1021.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-1021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-1021.00|Some College Courses
11-2011.00|Associate's Degree (or other 2-year degree)
11-2011.00|Bachelor's Degree
11-2011.00|High School Diploma - or the equivalent (for example, GED)
11-2011.00|Less than a High School Diploma
11-2011.00|Master's Degree
11-2011.00|Some College Courses
11-2021.00|Bachelor's Degree
11-2021.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
11-2021.00|Master's Degree
11-3012.00|Associate's Degree (or other 2-year degree)
11-3012.00|Bachelor's Degree
11-3012.00|High School Diploma - or the equivalent (for example, GED)
11-3012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-3012.00|Some College Courses
11-3021.00|Bachelor's Degree
11-3021.00|Master's Degree
11-3021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-3021.00|Some College Courses
11-3031.00|Bachelor's Degree
11-3031.00|High School Diploma - or the equivalent (for example, GED)
11-3031.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-3031.03|Bachelor's Degree
11-3031.03|Master's Degree
11-3051.00|Associate's Degree (or other 2-year degree)
11-3051.00|Bachelor's Degree
11-3051.00|High School Diploma - or the equivalent (for example, GED)
11-3051.00|Less than a High School Diploma
11-3051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-3051.00|Some College Courses
11-3051.01|Bachelor's Degree
11-3051.02|Bachelor's Degree
11-3051.02|High School Diploma - or the equivalent (for example, GED)
11-3051.02|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-3051.02|Some College Courses
11-3051.03|Associate's Degree (or other 2-year degree)
11-3051.03|Bachelor's Degree
11-3051.03|High School Diploma - or the equivalent (for example, GED)
11-3051.03|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-3051.03|Some College Courses
11-3051.04|Associate's Degree (or other 2-year degree)
11-3051.04|Bachelor's Degree
11-3051.04|High School Diploma - or the equivalent (for example, GED)
11-3051.04|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-3051.06|Associate's Degree (or other 2-year degree)
11-3051.06|Bachelor's Degree
11-3051.06|High School Diploma - or the equivalent (for example, GED)
11-3051.06|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-3051.06|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-3051.06|Some College Courses
11-9031.00|Bachelor's Degree
11-9031.00|High School Diploma - or the equivalent (for example, GED)
11-9031.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
11-9031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
11-9031.00|Some College Courses
