
OccupationCode|ExperienceLevel
11-1011.00|Over 1 year, up to and including 2 years
11-1011.00|Over 10 years
11-1011.00|Over 2 years, up to and including 4 years
11-1011.00|Over 4 years, up to and including 6 years
11-1011.00|Over 6 years, up to and including 8 years
11-1011.00|Over 8 years, up to and including 10 years
11-1021.00|Over 1 year, up to and including 2 years
11-1021.00|Over 10 years
11-1021.00|Over 2 years, up to and including 4 years
11-1021.00|Over 4 years, up to and including 6 years
11-1021.00|Over 6 months, up to and including 1 year
11-1021.00|Over 6 years, up to and including 8 years
11-1021.00|Over 8 years, up to and including 10 years
11-2011.00|Over 1 year, up to and including 2 years
11-2011.00|Over 2 years, up to and including 4 years
11-2011.00|Over 4 years, up to and including 6 years
11-2011.00|Over 6 months, up to and including 1 year
11-2011.00|Over 6 years, up to and including 8 years
11-2021.00|Over 1 year, up to and including 2 years
11-2021.00|Over 2 years, up to and including 4 years
11-2021.00|Over 4 years, up to and including 6 years
11-2021.00|Over 6 months, up to and including 1 year
11-2021.00|Over 6 years, up to and including 8 years
11-2021.00|Over 8 years, up to and including 10 years
11-3012.00|Over 1 year, up to and including 2 years
11-3012.00|Over 2 years, up to and including 4 years
11-3012.00|Over 4 years, up to and including 6 years
11-3012.00|Over 6 years, up to and including 8 years
11-3012.00|Over 8 years, up to and including 10 years
11-3021.00|Over 10 years
11-3021.00|Over 2 years, up to and including 4 years
11-3021.00|Over 4 years, up to and including 6 years
11-3021.00|Over 6 years, up to and including 8 years
11-3021.00|Over 8 years, up to and including 10 years
11-3031.00|None
11-3031.00|Over 1 year, up to and including 2 years
11-3031.00|Over 2 years, up to and including 4 years
11-3031.00|Over 4 years, up to and including 6 years
11-3031.00|Over 6 years, up to and including 8 years
11-3031.03|Over 10 years
11-3031.03|Over 4 years, up to and including 6 years
11-3031.03|Over 6 years, up to and including 8 years
11-3031.03|Over 8 years, up to and including 10 years
11-3051.00|None
11-3051.00|Over 1 year, up to and including 2 years
11-3051.00|Over 10 years
11-3051.00|Over 2 years, up to and including 4 years
11-3051.00|Over 4 years, up to and including 6 years
11-3051.00|Over 6 years, up to and including 8 years
11-3051.01|Over 10 years
11-3051.01|Over 2 years, up to and including 4 years
11-3051.01|Over 4 years, up to and including 6 years
11-3051.01|Over 6 years, up to and including 8 years
11-3051.02|Over 10 years
11-3051.02|Over 2 years, up to and including 4 years
11-3051.02|Over 4 years, up to and including 6 years
