OccupationCode|JobTitle|JobPostingLink
11-2011.00|Senior Manager- Journalism and Programming (Managing Editor) (English Services) ----- CBC/Radio-Canada|https://www.glassdoor.com/job-listing/senior-manager-journalism-and-programming-managing-editor-english-services-cbc-radio-canada-JV_IC2291672_KO0,74_KE75,91.htm?jl=1008533651929&pos=101&ao=1136043&s=345&guid=000001872c3482b1ac07708406a7446d&src=GD_JOB_AD&t=SR-JOBS-HR&vt=w&uido=A63304B0593C1B92ACDF619295BA197D&cs=1_2733fed0&cb=1680073959667&jobListingId=1008533651929&jrtk=3-0-1gsm390mombir801-1gsm390ntirmn802-38f74aa948271315-&ctt=1680073964152
11-2011.00|marketing manager ----- Cafooda International Ltd|https://www.glassdoor.com/job-listing/marketing-manager-cafooda-international-JV_IC2291672_KO0,17_KE18,39.htm?jl=1008332038225&pos=117&ao=1136043&s=58&guid=000001872c36c4b899859400615d3439&src=GD_JOB_AD&t=SR&vt=w&uido=A63304B0593C1B92ACDF619295BA197D&cs=1_832fe635&cb=1680073999727&jobListingId=1008332038225&jrtk=3-0-1gsm3dh6h2eok001-1gsm3dh7f2dup000-9108c7809d54d8cb-&ctt=1680074018874
11-9041.00|Project Manager ----- Pier Solutions|https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_167eab30&cb=1680074333998&jobListingId=1008498539687&cpc=1FDE87803EF93CD3&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-776d0ddc7a78cc47--6NYlbfkN0Ae5BRL8_RSXeNDFCQQHIc72LKyRsd1n0CmhmylP8oVreqBc_XmWrbVe00D2x2fYg5O64vRJvtC6LHXRP4RGXHjrPSzLR54MzGeZ11-8xOh7JybBowiq60vKnLLyRU0hriUvT-jUX7S0QcTYGPL5WUlu5lGjpRjT5p3SNpj75lRMz3II4GtK15kllpTmkGhrtEw5f7ORC0k9QE-GO9dnwJVeK1AYziQDGokwxRJBddmqt27MD1BnY4DdVBZrQWNj0n9HHfgu8oig3vny9TZ9C1HL4fYSJ5espHJW00rUjpCZVcI93Sk630WCCH7-31eGbiek5bLps6FtAm-D1WOrA9Nux9DNHgN6WtzQ1nut8XkVqNLL3wYZjMthWyCdG9qBWwj8W03wgM8cfnW-bP6v9ywwa3eDOfhi49mNmNaReIRzzUxHKqd36b6JKcCu2mTkUQJhvS50kSHiR0YsprCuvkAvcC0TvVGL0OWSI8efY_s_MDOneSt6-cFcbRd4qgjivmfgPZbwn2UNLd-zwnWCAjHIabNiiYl9fIyXgbWKBiXe7JIpBjf_q02nbzQ9snQriM%3D
11-9041.00|Lead Mechanical or Electrical Engineer ($220-260K!) ----- PNG Forest Products|https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&cs=1_abc2f671&cb=1680074333998&jobListingId=1008512385530&cpc=FAE5E775D180B2FB&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-1cf88ee0824bc341--6NYlbfkN0BsAjwpyVurM-r5j7oGABjqFVWy0OcVUfJpvYUnlci_AgH6b7JtbGMFQrnZR-R8txyZC8grVetAUxbGid5Abj1rCtYXcGse83F9v3mQqW8mNiZAnSyxZZmmBx2B1_Ju8iAHcQ-cgbj0qsO-WbP8SjyK366Imp_Kh91yiTJhZlSOw4R6LctZF98sRsc77_kLpGJZGNHaMUMGQYylpsxLjlbiJUhkZ7QP0ujpcKrRtPcjebNgWQwV0J3u5tHa4LhGg7BmQ_Sorux3mEVSWFPQU5Dq2emwE3vwOb2oOJyjcfYcV7slwINm_ePnOoJKH2KG8-_9XmGhrucWx0h4uVv5sbyDSvdtswFIWupCpaX9ayq0oqyK-pTT9GcxGfq-UucEvPeX-DJ3pAQvAb3TXct0MZ0MP9tlabLkW3UUn9r6GKcXRot5Qaw05sxkM3SeeVrmcIKKlX63azsDeEV-VkX1bR643zYCdJKcAAxlZADVlMIV-qNTsmq-BtJMjibqXL11fRufIMJjfqYrAHuZyecjj_TfBeSM4_R7sfLpCzm0GO9gAEcMfeSTpkn_hgUmNT0PfNCFy4UpihPbJ_Ivkk24JUP0hUGis859EoNPa7Jz8BtCdEqDgjNX5kXhmWBoyGwzC-M%3D
11-9041.00|Cost Reduction Program Manager ----- Vecima Networks Inc|https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_851c270b&cb=1680074333998&jobListingId=1008457612068&cpc=7F6F94E2229B3AB5&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-164789ac437f1917--6NYlbfkN0BkV0uFdlrGuarx9AURy3ub75nAMD4IuQbHoIWBW25vWbGiTUB4y1ZVg454zTH3Bdzyj5ViCBZUnGOdn-V8KKg1mWDZmNRXAzZKlCptJ5JQgk51UmXKEYlkjErAIo9nGxHwtB5JOgwvp7TCvohYry4NwFJsa1PCktTaxS29sXZRXxWJPzcW6-X8RN5H2AfdoCRIrU8fMWxsVheWd8wDbcO1MfBgfDtF7TOuIdCcTyuMFIsiwJTpU1U0SLh0_oBV-1LYL6KAj1ISsk_tuwe-t-ZlCyKFxQSWMVqdAfzvqqbNC7nXbiQ3GXXnOiE86OG9Bu79ndNhpRXBYT58uNe8UxTUruNQwqb2u9M0ZqNI6GI3amPEW-3-Zi1AiJGR25svifsy0WHZycwc_jz89LpZ_DyO4GWu6jzcKUMI6G_8rq8LuXWzklZhnVIfWq7ON_xCihDWP3R58C9a_uGcYNzWfIa4pc_OhuBJfwHKuqnYNpcw-wagVCCzwryrEVXdNp4y2xHlMLLPF9n4M2MHmroufSsMqSWX6htSOrLGry9nFJcq4C6TZYFZQXysN2_8GkT3hiyvR61V5aP6JkoIQA6bmxjFbNweFpU9LdP3LjPB0pWnR83SLHQaKIxXqIRiXBSBxS6IbuCn1G5F-zNLklBPpAyT1DLmiXUSk-Dr64V3w52D46NOgPzHTqwgXREOfpVRIBoXJHIoe6AmhJfmcvbsoxxK6EQ20XZVPbLx5hNpAEOdTBdwbBycJ4vdAm3W_Dpk7bIVLO6yZiKmhSXUDXZUbxxJneeAJOZ7vFlOzef93A2kFyZO0gJzVCkG
11-9041.00|Manager- Environment and Permitting ----- Foran Mining|https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d9d427ec&cb=1680074333998&jobListingId=1008553955813&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-2445a07c2701fec1-
11-9041.00|Operational Readiness Manager ----- Foran Mining|https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e4f3bd71&cb=1680074333999&jobListingId=1008551810969&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-53430b4e4c737c8f-
11-9041.00|Project Manager ----- Allnorth Consultants Limited|https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&cs=1_23c174cb&cb=1680074334000&jobListingId=1008149301918&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-5e9253ca8b4277ce-
11-9041.00|Project Engineer/Manager (230321) ----- Peter Lucas Project Management Inc.|https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2f01eefa&cb=1680074334000&jobListingId=1008543641024&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-89cd841ffe06faa9-
11-9041.00|Senior Project Manager (Construction) ----- Allnorth Consultants Limited|https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=000001872c3bddf1bdca01c22c67d860&src=GD_JOB_AD&t=SR&vt=w&cs=1_c5aaf8b0&cb=1680074334000&jobListingId=1007986158061&jrtk=3-0-1gsm3nngn34pg001-1gsm3nnhbi6ig800-5f0c413e385f6faf-
