
OccupationCode|Skill
11-3012.00|Learning Strategies
11-3031.03|Mathematics
11-3111.00|Instructing
11-9032.00|Reading Comprehension
11-9121.00|Science
11-9161.00|Programming
53-7021.00|Active Listening
51-9023.00|Equipment Selection
51-9071.06|Mathematics
51-9195.03|Reading Comprehension
51-9195.04|Operation and Control
53-2022.00|Programming
53-2031.00|Coordination
51-4022.00|Operations Analysis
51-4023.00|Equipment Maintenance
51-4121.00|Social Perceptiveness
51-6052.00|Negotiation
51-6061.00|Repairing
51-8011.00|Systems Analysis
49-3041.00|Critical Thinking
49-3042.00|Programming
49-9045.00|Troubleshooting
49-9051.00|Operations Monitoring
49-9098.00|Writing
51-2023.00|Management of Financial Resources
47-2171.00|Systems Analysis
47-3012.00|Speaking
47-4099.03|Management of Material Resources
47-5011.00|Mathematics
49-2011.00|Complex Problem Solving
49-2021.00|Reading Comprehension
45-4011.00|Persuasion
45-4021.00|Social Perceptiveness
47-2053.00|Judgment and Decision Making
47-2061.00|Negotiation
47-2111.00|Time Management
47-2161.00|Technology Design
43-4051.00|Coordination
43-4061.00|Service Orientation
43-4171.00|Writing
43-5031.00|Active Learning
43-5032.00|Management of Financial Resources
43-9041.00|Quality Control Analysis
39-5011.00|Monitoring
39-5012.00|Management of Material Resources
41-1011.00|Learning Strategies
41-1012.00|Complex Problem Solving
41-9021.00|Critical Thinking
43-3071.00|Troubleshooting
33-9021.00|Systems Evaluation
33-9031.00|Persuasion
35-2021.00|Judgment and Decision Making
35-9021.00|Time Management
37-3011.00|Technology Design
39-2011.00|Speaking
29-2035.00|Reading Comprehension
29-2061.00|Science
29-2099.01|Programming
29-2099.05|Coordination
31-2021.00|Operations Monitoring
31-2022.00|Active Learning
29-1125.00|Negotiation
29-1126.00|Repairing
29-1181.00|Systems Analysis
29-1211.00|Monitoring
29-1229.04|Learning Strategies
29-2012.00|Instructing
27-1022.00|Writing
27-1023.00|Active Listening
27-2041.00|Systems Evaluation
27-3031.00|Operations Analysis
27-4014.00|Management of Personnel Resources
29-1011.00|Social Perceptiveness
25-1121.00|Reading Comprehension
25-2031.00|Critical Thinking
25-2032.00|Programming
25-4013.00|Troubleshooting
25-4022.00|Operations Monitoring
25-9044.00|Service Orientation
21-1015.00|Time Management
21-1094.00|Technology Design
23-1021.00|Speaking
25-1053.00|Management of Material Resources
25-1054.00|Mathematics
25-1113.00|Complex Problem Solving
19-1042.00|Management of Financial Resources
19-3011.01|Operations Analysis
19-3099.01|Persuasion
19-4012.00|Social Perceptiveness
19-4099.03|Judgment and Decision Making
19-5011.00|Negotiation
17-3026.01|Science
17-3027.00|Troubleshooting
17-3031.00|Coordination
19-1011.00|Service Orientation
19-1029.03|Writing
19-1041.00|Active Learning
17-1022.01|Management of Material Resources
17-2112.00|Learning Strategies
17-2112.01|Complex Problem Solving
17-2199.07|Instructing
17-2199.08|Critical Thinking
17-3013.00|Operation and Control
15-1212.00|Management of Personnel Resources
15-1221.00|Judgment and Decision Making
15-1243.01|Time Management
15-1299.01|Technology Design
15-1299.08|Speaking
17-1022.00|Monitoring
11-9171.00|Coordination
13-1031.00|Operations Monitoring
13-1032.00|Active Learning
13-1111.00|Quality Control Analysis
13-2031.00|Systems Evaluation
13-2041.00|Persuasion
11-1011.03|Science
11-3051.00|Negotiation
11-3051.02|Writing
11-3111.00|Management of Financial Resources
11-9032.00|Technology Design
11-9111.00|Quality Control Analysis
53-6031.00|Complex Problem Solving
53-6041.00|Judgment and Decision Making
53-7021.00|Time Management
51-8093.00|Science
51-9023.00|Coordination
51-9162.00|Management of Financial Resources
51-9195.03|Technology Design
53-1041.00|Speaking
53-1042.01|Quality Control Analysis
51-4051.00|Service Orientation
51-4061.00|Management of Material Resources
51-5111.00|Active Learning
51-5113.00|Learning Strategies
51-7021.00|Critical Thinking
51-8091.00|Persuasion
49-9045.00|Equipment Maintenance
49-9071.00|Complex Problem Solving
49-9091.00|Judgment and Decision Making
51-2023.00|Instructing
51-3011.00|Operation and Control
51-3022.00|Repairing
47-5041.00|Installation
47-5044.00|Operations Monitoring
49-2096.00|Speaking
49-2098.00|Quality Control Analysis
49-3092.00|Monitoring
49-9011.00|Systems Evaluation
47-2031.00|Learning Strategies
47-2111.00|Active Listening
47-2161.00|Reading Comprehension
47-3013.00|Persuasion
47-4041.00|Coordination
47-4099.03|Management of Personnel Resources
43-4161.00|Social Perceptiveness
43-5032.00|Instructing
43-5111.00|Operation and Control
45-1011.00|Programming
45-2021.00|Systems Analysis
47-2021.00|Active Learning
39-3092.00|Critical Thinking
39-9011.00|Operations Monitoring
41-3011.00|Negotiation
41-3031.00|Writing
43-2011.00|Monitoring
43-4141.00|Mathematics
31-9097.00|Judgment and Decision Making
33-3021.02|Programming
33-3031.00|Systems Analysis
35-2014.00|Service Orientation
35-9021.00|Active Listening
37-3011.00|Reading Comprehension
29-2055.00|Speaking
29-2057.00|Quality Control Analysis
29-2099.05|Equipment Selection
29-9099.01|Mathematics
31-1122.00|Social Perceptiveness
31-9095.00|Complex Problem Solving
29-1217.00|Persuasion
29-1221.00|Science
29-1229.03|Coordination
29-1291.00|Negotiation
29-2012.00|Management of Financial Resources
29-2035.00|Technology Design
27-4011.00|Service Orientation
27-4014.00|Management of Material Resources
29-1041.00|Active Learning
29-1071.00|Learning Strategies
29-1141.00|Operations Analysis
29-1141.02|Critical Thinking
25-1193.00|Speaking
25-3011.00|Systems Evaluation
25-4013.00|Equipment Maintenance
27-1011.00|Judgment and Decision Making
27-1023.00|Time Management
27-2011.00|Instructing
21-1094.00|Reading Comprehension
23-1022.00|Persuasion
23-2011.00|Science
25-1032.00|Coordination
25-1053.00|Management of Personnel Resources
25-1121.00|Technology Design
19-1029.02|Social Perceptiveness
19-1042.00|Instructing
19-2041.00|Operation and Control
19-3041.00|Systems Analysis
19-4051.02|Learning Strategies
21-1015.00|Active Listening
17-2071.00|Operations Monitoring
17-2141.01|Negotiation
17-2151.00|Writing
17-2199.07|Management of Financial Resources
17-3022.00|Systems Evaluation
17-3027.00|Equipment Maintenance
15-1212.00|Management of Material Resources
15-1243.01|Active Listening
15-1299.01|Reading Comprehension
15-2041.01|Operations Analysis
15-2051.01|Critical Thinking
